model,generation,support_bmp,support_jpg,support_gif,main_res,main_size,main_colours,main_name,secondary_res,secondary_size,secondary_colours,secondary_name
P15s,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E14,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E15,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L13,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L13 yoga,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L14,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
L15,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X13 Yoga,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
11e Yoga Gen 6,1 (2020),,,,,,,,,,,
X1 Yoga Gen 5,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X13,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1C Gen 8,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
X1 Extreme Gen 3,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
P1 Gen 3,1 (2020),true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
E14 Gen 2,2,true,true,true,40% panel res,60kb,unlimited,logo.(extension),,,,
